Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint2>,valid,50896,666.8865513801575
<http://SGKG4.org/shapes/Constraint3>,valid,88174,951.5064496994019
<http://SGKG4.org/shapes/Constraint5>,valid,159241,1550.5781691074371
<http://SGKG4.org/shapes/Constraint3>,valid,94290,951.5274522304535
<http://SGKG4.org/shapes/Constraint4>,valid,128409,1230.7368755340576
<http://SGKG4.org/shapes/Constraint4>,valid,131426,1230.7499101161957
<http://SGKG4.org/shapes/Constraint3>,violated,68266,951.427485704422
<http://SGKG4.org/shapes/Constraint4>,valid,121263,1230.7069108486176
<http://SGKG4.org/shapes/Constraint1>,valid,28748,346.2203755378723
<http://SGKG4.org/shapes/Constraint4>,valid,110177,1230.6558747291565
<http://SGKG4.org/shapes/Constraint4>,valid,128492,1230.7378754615784
<http://SGKG4.org/shapes/Constraint1>,valid,33161,346.23937344551086
<http://SGKG4.org/shapes/Constraint2>,valid,39195,666.8384025096893
<http://SGKG4.org/shapes/Constraint3>,valid,77727,951.4674499034882
<http://SGKG4.org/shapes/Constraint4>,valid,109909,1230.6548759937286
<http://SGKG4.org/shapes/Constraint1>,valid,7500,346.08236050605774
<http://SGKG4.org/shapes/Constraint3>,valid,79546,951.4754495620728
<http://SGKG4.org/shapes/Constraint2>,valid,42691,666.8526384830475
<http://SGKG4.org/shapes/Constraint2>,valid,67198,666.9561789035797
<http://SGKG4.org/shapes/Constraint4>,valid,134983,1230.7648742198944
<http://SGKG4.org/shapes/Constraint1>,valid,12293,346.1123192310333
<http://SGKG4.org/shapes/Constraint2>,valid,39392,666.8393983840942
<http://SGKG4.org/shapes/Constraint5>,valid,150821,1550.5342071056366
<http://SGKG4.org/shapes/Constraint2>,valid,51828,666.8905518054962
<http://SGKG4.org/shapes/Constraint4>,valid,128521,1230.7378754615784
<http://SGKG4.org/shapes/Constraint5>,valid,151659,1550.5382051467896
<http://SGKG4.org/shapes/Constraint3>,violated,72123,951.445449590683
<http://SGKG4.org/shapes/Constraint5>,valid,157538,1550.5691697597504
<http://SGKG4.org/shapes/Constraint3>,valid,87923,951.5054500102997
<http://SGKG4.org/shapes/Constraint3>,valid,96613,951.5374526977539
<http://SGKG4.org/shapes/Constraint2>,valid,35750,666.8233995437622
<http://SGKG4.org/shapes/Constraint1>,valid,24690,346.19741773605347
<http://SGKG4.org/shapes/Constraint4>,valid,127016,1230.730875492096
<http://SGKG4.org/shapes/Constraint4>,valid,127597,1230.7338752746582
<http://SGKG4.org/shapes/Constraint4>,valid,126522,1230.7288751602173
<http://SGKG4.org/shapes/Constraint2>,valid,62907,666.9391763210297
<http://SGKG4.org/shapes/Constraint5>,valid,149343,1550.5282037258148
<http://SGKG4.org/shapes/Constraint3>,violated,74935,951.4554495811462
<http://SGKG4.org/shapes/Constraint1>,valid,20095,346.16941928863525
<http://SGKG4.org/shapes/Constraint5>,valid,158719,1550.5751700401306
<http://SGKG4.org/shapes/Constraint4>,valid,106668,1230.6409113407135
<http://SGKG4.org/shapes/Constraint1>,valid,7646,346.08336186408997
<http://SGKG4.org/shapes/Constraint5>,valid,167908,1550.6142082214355
<http://SGKG4.org/shapes/Constraint4>,valid,101890,1230.6188781261444
<http://SGKG4.org/shapes/Constraint2>,valid,54257,666.9035856723785
<http://SGKG4.org/shapes/Constraint2>,valid,43611,666.8565859794617
